1;1;1
1;2;2
2;3;3
2;4;4
2;5;5
3;6;6
3;7;7
4;8;8
4;9;9
5;10;10
5;11;11
6;12;12
6;13;13
6;14;14
7;15;15
7;16;16
7;17;17
7;18;18
7;19;19
8;20;20
8;21;21
8;22;22
8;23;23
9;24;24
9;25;25
10;26;26
10;27;27
11;28;28
11;29;29
11;30;30
11;31;31
11;32;32
12;33;33
12;34;34
12;35;35
13;36;36
13;37;37
13;38;38
13;39;39
13;40;40
14;41;41
14;42;42
14;43;43
15;44;44
15;45;45
15;46;46
15;47;47
15;48;48
16;49;49
16;50;50
17;51;51
18;52;52
18;53;53
19;54;54
19;55;55
19;56;56
19;57;57
19;58;58
20;59;59
20;60;60
20;61;61
21;62;62
21;63;63
21;64;64
21;65;65
